Invoice_ID,Supplier_ID,Invoice_Amount,Invoice_Date,Due_Date,Payment_Date,Status,Paid_Amount,Outstanding,Unnamed: 9,Name,ABN,Country,Service_Category,Supplier_Type,Terms (Days),Contact_Name,Contact_Email,Duplicate_ABN,Duplicate_Invoice,High_Amount,Risk_Score,Payment_Status,Paid_Late_Flag,Paid_OnTime_Flag,Pending_Flag,Unpaid_NoDue_Flag,Unpaid_LatePayNow_Flag,Unpaid_TodayPayNow_Flag,Unpaid_HighPriority_Flag,Unpaid_Priority_Flag,Unpaid_Flag
1,74,9350.66,2025-02-01,2025-02-08,2025-02-13,Late,"$9,350.66",$0.00,,Cisneros and Sons,97021355690,AU,Installation,Individual service contractors,7,Meghan Rush,scott19@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
2,31,5983.39,2025-02-01,2025-03-03,2025-02-22,On Time,"$5,983.39",$0.00,,Kennedy-Schmidt,68557444313,AU,Irrigation Systems,Supplier Company,30,Patrick Tapia,jamesrodgers@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
3,29,9697.6,2025-02-01,2025-02-08,2025-02-14,Late,"$9,697.60",$0.00,`,"Boyd, Santos and Gilbert",87769453147,AU,Welding,Individual service contractors,7,John Bishop,frogers@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
4,27,1156.97,2025-02-01,2025-02-08,2025-02-07,On Time,"$1,156.97",$0.00,,Caldwell-Elliott,37452991241,AU,Welding,Individual service contractors,7,Tanya Johnston,tsanders@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
5,12,6527.19,2025-02-01,2025-02-08,2025-02-10,Late,"$6,527.19",$0.00,,Phillips Inc,98050097882,AU,Welding,Individual service contractors,7,Jordan York,larsonemma@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
6,63,3215.74,2025-02-01,2025-04-02,2025-03-26,On Time,"$3,215.74",$0.00,,Ritter-Warren,92554665905,AU,Logistics and Freight,Freight Company,60,Brandon Gregory,johnathan92@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
7,29,6486.46,2025-02-01,2025-02-08,2025-02-07,On Time,"$6,486.46",$0.00,,"Boyd, Santos and Gilbert",87769453147,AU,Welding,Individual service contractors,7,John Bishop,frogers@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
8,29,1028.52,2025-02-01,2025-02-08,2025-02-11,Late,"$1,028.52",$0.00,,"Boyd, Santos and Gilbert",87769453147,AU,Welding,Individual service contractors,7,John Bishop,frogers@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
9,56,6397.45,2025-02-01,2025-03-03,2025-02-26,On Time,"$6,397.45",$0.00,,"Farmer, Dorsey and Bell",22961201836,AU,Fabrication Services,Supplier Company,30,Glen Wood,kimberly99@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
10,58,1903.3,2025-02-01,2025-03-03,2025-02-07,On Time,"$1,903.30",$0.00,,Saunders LLC,45107622683,AU,Agricultural Tyres,Supplier Company,30,Sandra Drake,sandersjudy@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
